Sprs_0001	len=368	ExpAA=88.22	First60=0.00	PredHel=4	Topology=i85-107o117-134i190-212o250-272i
Sprs_0052	len=517	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0053	len=110	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0054	len=692	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0055	len=548	ExpAA=243.93	First60=9.42	PredHel=10	Topology=i92-114o124-146i153-175o190-211i282-304o323-345i357-379o389-411i423-445o455-477i
Sprs_0056	len=175	ExpAA=0.47	First60=0.00	PredHel=0	Topology=o
Sprs_0057	len=784	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0058	len=674	ExpAA=0.41	First60=0.00	PredHel=0	Topology=o
Sprs_0059	len=232	ExpAA=0.53	First60=0.00	PredHel=0	Topology=o
Sprs_0060	len=458	ExpAA=13.94	First60=5.63	PredHel=0	Topology=o
Sprs_0061	len=219	ExpAA=93.53	First60=23.21	PredHel=4	Topology=i23-45o55-77i98-120o165-187i
Sprs_0062	len=178	ExpAA=0.11	First60=0.03	PredHel=0	Topology=o
Sprs_0063	len=217	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Sprs_0064	len=1148	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Sprs_0065	len=566	ExpAA=0.05	First60=0.01	PredHel=0	Topology=o
Sprs_0066	len=164	ExpAA=0.02	First60=0.02	PredHel=0	Topology=o
Sprs_0067	len=501	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Sprs_0068	len=893	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
Sprs_0069	len=220	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0070	len=209	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0071	len=181	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0072	len=1050	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0073	len=222	ExpAA=12.25	First60=12.24	PredHel=0	Topology=o
Sprs_0074	len=104	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0075	len=394	ExpAA=0.09	First60=0.00	PredHel=0	Topology=o
Sprs_0076	len=542	ExpAA=225.45	First60=22.25	PredHel=10	Topology=i21-43o71-93i102-119o124-146i159-181o191-213i283-305o320-342i390-412o451-473i
Sprs_0077	len=205	ExpAA=0.02	First60=0.01	PredHel=0	Topology=o
Sprs_0078	len=129	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0079	len=1064	ExpAA=1.82	First60=0.00	PredHel=0	Topology=o
Sprs_0080	len=492	ExpAA=0.43	First60=0.00	PredHel=0	Topology=o
Sprs_0081	len=380	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
Sprs_0082	len=151	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0083	len=988	ExpAA=0.07	First60=0.02	PredHel=0	Topology=o
Sprs_0084	len=85	ExpAA=21.04	First60=21.03	PredHel=1	Topology=o15-37i
Sprs_0085	len=410	ExpAA=90.13	First60=0.05	PredHel=4	Topology=i142-164o192-214i227-249o280-302i
Sprs_0086	len=122	ExpAA=63.11	First60=21.76	PredHel=3	Topology=o32-54i61-83o98-120i
Sprs_0087	len=203	ExpAA=0.53	First60=0.00	PredHel=0	Topology=o
Sprs_0088	len=804	ExpAA=0.03	First60=0.01	PredHel=0	Topology=o
Sprs_0089	len=1568	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Sprs_0090	len=1010	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0091	len=315	ExpAA=4.01	First60=1.52	PredHel=0	Topology=o
Sprs_0092	len=159	ExpAA=24.87	First60=22.24	PredHel=1	Topology=i21-43o
Sprs_0093	len=454	ExpAA=23.70	First60=0.00	PredHel=0	Topology=o
Sprs_0094	len=293	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Sprs_0095	len=307	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0096	len=237	ExpAA=0.11	First60=0.01	PredHel=0	Topology=o
Sprs_0097	len=509	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0098	len=451	ExpAA=17.09	First60=17.09	PredHel=1	Topology=i5-27o
Sprs_0099	len=322	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Sprs_0100	len=446	ExpAA=0.11	First60=0.00	PredHel=0	Topology=o
Sprs_0101	len=182	ExpAA=0.04	First60=0.03	PredHel=0	Topology=o
Sprs_0102	len=750	ExpAA=23.60	First60=0.00	PredHel=1	Topology=i140-162o
Sprs_0103	len=160	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0104	len=1196	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Sprs_0105	len=601	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0106	len=701	ExpAA=0.28	First60=0.00	PredHel=0	Topology=o
Sprs_0107	len=462	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Sprs_0108	len=355	ExpAA=0.02	First60=0.01	PredHel=0	Topology=o
Sprs_0109	len=284	ExpAA=124.16	First60=15.89	PredHel=5	Topology=o56-75i87-109o146-168i189-211o237-259i
Sprs_0110	len=167	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
Sprs_0111	len=1031	ExpAA=0.13	First60=0.01	PredHel=0	Topology=o
Sprs_0112	len=118	ExpAA=5.10	First60=0.01	PredHel=0	Topology=o
Sprs_0113	len=1964	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0114	len=1068	ExpAA=332.14	First60=0.00	PredHel=14	Topology=o376-395i402-424o450-472i484-506o556-578i585-607o617-639i748-770o774-796i858-880o895-914i927-946o961-983i1004-1026o
Sprs_0115	len=734	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
Sprs_0116	len=3717	ExpAA=3.04	First60=0.00	PredHel=0	Topology=o
Sprs_0117	len=820	ExpAA=0.18	First60=0.18	PredHel=0	Topology=o
Sprs_0118	len=302	ExpAA=0.88	First60=0.86	PredHel=0	Topology=o
Sprs_0119	len=516	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Sprs_0120	len=182	ExpAA=83.75	First60=37.30	PredHel=4	Topology=o5-22i31-53o108-130i151-173o
Sprs_0121	len=112	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0122	len=711	ExpAA=18.14	First60=18.11	PredHel=0	Topology=o
Sprs_0123	len=427	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0124	len=1133	ExpAA=0.93	First60=0.77	PredHel=0	Topology=o
Sprs_0125	len=952	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Sprs_0126	len=482	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0127	len=188	ExpAA=49.85	First60=7.79	PredHel=0	Topology=o
Sprs_0128	len=465	ExpAA=171.12	First60=15.74	PredHel=7	Topology=o148-170i183-205o234-256i268-290o335-357i392-414o439-461i
Sprs_0129	len=181	ExpAA=0.17	First60=0.11	PredHel=0	Topology=o
Sprs_0130	len=326	ExpAA=0.11	First60=0.00	PredHel=0	Topology=o
Sprs_0131	len=327	ExpAA=0.05	First60=0.02	PredHel=0	Topology=o
Sprs_0132	len=686	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0133	len=931	ExpAA=0.21	First60=0.00	PredHel=0	Topology=o
Sprs_0134	len=565	ExpAA=0.20	First60=0.00	PredHel=0	Topology=o
Sprs_0135	len=767	ExpAA=17.41	First60=17.29	PredHel=1	Topology=i7-29o
Sprs_0136	len=585	ExpAA=207.46	First60=19.10	PredHel=9	Topology=o5-27i208-230o254-271i321-343o363-385i406-428o464-486i498-520o538-560i
Sprs_0137	len=372	ExpAA=67.53	First60=0.01	PredHel=2	Topology=i233-255o270-292i
Sprs_0138	len=765	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0139	len=363	ExpAA=4.29	First60=0.00	PredHel=0	Topology=o
Sprs_0140	len=839	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0141	len=865	ExpAA=0.15	First60=0.00	PredHel=0	Topology=o
Sprs_0142	len=628	ExpAA=0.04	First60=0.03	PredHel=0	Topology=o
Sprs_0143	len=2143	ExpAA=0.17	First60=0.00	PredHel=0	Topology=o
Sprs_0144	len=288	ExpAA=21.04	First60=2.30	PredHel=0	Topology=o
Sprs_0145	len=564	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Sprs_0146	len=941	ExpAA=0.05	First60=0.00	PredHel=0	Topology=o
Sprs_0147	len=133	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0148	len=430	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
Sprs_0149	len=291	ExpAA=5.56	First60=2.91	PredHel=0	Topology=o
Sprs_0150	len=259	ExpAA=1.34	First60=1.34	PredHel=0	Topology=o
Sprs_0151	len=1576	ExpAA=0.33	First60=0.00	PredHel=0	Topology=o
Sprs_0152	len=310	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0153	len=423	ExpAA=0.65	First60=0.36	PredHel=0	Topology=o
Sprs_0154	len=415	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0155	len=582	ExpAA=0.42	First60=0.00	PredHel=0	Topology=o
Sprs_0156	len=269	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
Sprs_0157	len=309	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0158	len=431	ExpAA=1.46	First60=1.45	PredHel=0	Topology=o
Sprs_0159	len=694	ExpAA=198.92	First60=21.81	PredHel=10	Topology=i36-58o73-95i172-194o209-228i237-255o315-337i584-606o621-643i645-667o671-690i
Sprs_0160	len=367	ExpAA=29.94	First60=0.00	PredHel=1	Topology=i217-239o
Sprs_0161	len=239	ExpAA=0.03	First60=0.03	PredHel=0	Topology=o
Sprs_0162	len=283	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0163	len=983	ExpAA=0.13	First60=0.00	PredHel=0	Topology=o
Sprs_0164	len=608	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Sprs_0165	len=301	ExpAA=42.81	First60=0.00	PredHel=2	Topology=i201-220o230-252i
Sprs_0166	len=2106	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Sprs_0167	len=433	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Sprs_0168	len=541	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0169	len=781	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
Sprs_0170	len=474	ExpAA=115.39	First60=0.24	PredHel=5	Topology=i67-89o104-126i211-233o274-291i311-333o
Sprs_0171	len=567	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Sprs_0172	len=205	ExpAA=0.41	First60=0.40	PredHel=0	Topology=o
Sprs_0173	len=252	ExpAA=0.68	First60=0.32	PredHel=0	Topology=o
Sprs_0174	len=808	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0175	len=470	ExpAA=0.11	First60=0.00	PredHel=0	Topology=o
Sprs_0176	len=661	ExpAA=6.16	First60=0.00	PredHel=0	Topology=o
Sprs_0177	len=315	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
Sprs_0178	len=622	ExpAA=195.03	First60=0.00	PredHel=9	Topology=o160-181i193-215o264-286i293-312o316-338i355-377o397-419i424-446o450-471i
Sprs_0179	len=142	ExpAA=1.63	First60=1.62	PredHel=0	Topology=o
Sprs_0180	len=541	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Sprs_0181	len=587	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
Sprs_0182	len=315	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0183	len=1288	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0184	len=978	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Sprs_0185	len=398	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0186	len=254	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0187	len=209	ExpAA=0.02	First60=0.01	PredHel=0	Topology=o
Sprs_0188	len=952	ExpAA=0.50	First60=0.00	PredHel=0	Topology=o
Sprs_0189	len=391	ExpAA=12.91	First60=12.90	PredHel=0	Topology=o
Sprs_0190	len=795	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0191	len=1247	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0192	len=168	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0193	len=762	ExpAA=7.65	First60=7.46	PredHel=0	Topology=o
Sprs_0194	len=864	ExpAA=64.40	First60=0.00	PredHel=3	Topology=o585-607i707-729o763-785i
Sprs_0195	len=1525	ExpAA=0.06	First60=0.00	PredHel=0	Topology=o
Sprs_0196	len=128	ExpAA=76.13	First60=31.57	PredHel=3	Topology=i5-27o65-87i99-121o
Sprs_0197	len=65	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0198	len=848	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
Sprs_0199	len=1851	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Sprs_0200	len=102	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0201	len=367	ExpAA=46.52	First60=0.00	PredHel=2	Topology=o258-280i333-355o
Sprs_0202	len=369	ExpAA=0.46	First60=0.00	PredHel=0	Topology=o
Sprs_0203	len=409	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0204	len=845	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
Sprs_0205	len=189	ExpAA=0.58	First60=0.00	PredHel=0	Topology=o
Sprs_0206	len=1249	ExpAA=156.05	First60=0.00	PredHel=5	Topology=i118-140o353-375i823-845o860-879i884-906o
Sprs_0207	len=898	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
Sprs_0208	len=692	ExpAA=0.39	First60=0.06	PredHel=0	Topology=o
Sprs_0209	len=917	ExpAA=10.13	First60=0.00	PredHel=0	Topology=o
Sprs_0210	len=416	ExpAA=53.44	First60=0.02	PredHel=2	Topology=o308-327i370-392o
Sprs_0211	len=790	ExpAA=183.82	First60=0.00	PredHel=8	Topology=o176-198i218-240o255-277i313-335o636-655i675-697o707-724i745-764o
Sprs_0212	len=594	ExpAA=210.36	First60=22.13	PredHel=10	Topology=i34-56o66-85i279-301o305-327i332-351o398-417i429-451o466-488i495-514o518-540i
Sprs_0213	len=189	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0214	len=208	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0215	len=502	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0216	len=921	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Sprs_0217	len=326	ExpAA=0.13	First60=0.02	PredHel=0	Topology=o
Sprs_0218	len=759	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Sprs_0219	len=905	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0220	len=186	ExpAA=16.91	First60=0.00	PredHel=0	Topology=o
Sprs_0221	len=269	ExpAA=1.50	First60=1.50	PredHel=0	Topology=o
Sprs_0222	len=2268	ExpAA=446.36	First60=0.00	PredHel=18	Topology=o336-358i379-401o559-576i618-640o757-779i902-924o957-979i1034-1056o1320-1342i1363-1385o1400-1422i1451-1473o1574-1596i1652-1671o1686-1708i1780-1802o1817-1839i1866-1888o
Sprs_0223	len=257	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Sprs_0224	len=469	ExpAA=124.60	First60=0.00	PredHel=5	Topology=o98-120i155-177o197-219i271-290o305-327i
Sprs_0225	len=1055	ExpAA=0.23	First60=0.00	PredHel=0	Topology=o
Sprs_0226	len=590	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0227	len=587	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
Sprs_0228	len=577	ExpAA=260.88	First60=0.00	PredHel=12	Topology=i143-165o180-202i209-230o235-257i270-292o296-318i366-388o403-425i446-465o475-497i504-526o541-563i
Sprs_0229	len=62	ExpAA=16.07	First60=16.07	PredHel=0	Topology=o
Sprs_0230	len=695	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
Sprs_0231	len=1548	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0232	len=998	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0233	len=295	ExpAA=91.78	First60=38.77	PredHel=4	Topology=i12-34o44-66i86-108o181-203i
Sprs_0234	len=554	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Sprs_0235	len=2007	ExpAA=4.95	First60=0.00	PredHel=0	Topology=o
Sprs_0236	len=545	ExpAA=255.04	First60=0.00	PredHel=11	Topology=i126-148o168-190i203-225o229-251i258-280o344-366i373-395o405-427i434-456o476-498i519-541o
Sprs_0237	len=246	ExpAA=0.99	First60=0.00	PredHel=0	Topology=o
Sprs_0238	len=296	ExpAA=17.60	First60=17.56	PredHel=1	Topology=o4-26i
Sprs_0239	len=1095	ExpAA=3.11	First60=0.00	PredHel=0	Topology=o
Sprs_0240	len=357	ExpAA=1.92	First60=0.00	PredHel=0	Topology=o
Sprs_0241	len=335	ExpAA=0.38	First60=0.00	PredHel=0	Topology=o
Sprs_0242	len=204	ExpAA=1.52	First60=1.52	PredHel=0	Topology=o
Sprs_0243	len=613	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0244	len=1241	ExpAA=0.05	First60=0.00	PredHel=0	Topology=o
Sprs_0245	len=1019	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0246	len=1086	ExpAA=0.48	First60=0.03	PredHel=0	Topology=o
Sprs_0247	len=630	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
Sprs_0248	len=1035	ExpAA=0.07	First60=0.01	PredHel=0	Topology=o
Sprs_0249	len=973	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Sprs_0250	len=436	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Sprs_0251	len=194	ExpAA=14.74	First60=0.01	PredHel=0	Topology=o
Sprs_0252	len=410	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0253	len=400	ExpAA=65.66	First60=0.00	PredHel=0	Topology=o
Sprs_0254	len=3162	ExpAA=1.67	First60=0.00	PredHel=0	Topology=o
Sprs_0255	len=464	ExpAA=0.02	First60=0.01	PredHel=0	Topology=o
Sprs_0256	len=242	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0257	len=87	ExpAA=13.50	First60=13.50	PredHel=0	Topology=o
Sprs_0258	len=707	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0259	len=477	ExpAA=1.47	First60=1.43	PredHel=0	Topology=o
Sprs_0260	len=296	ExpAA=33.50	First60=19.39	PredHel=1	Topology=i9-28o
Sprs_0261	len=304	ExpAA=0.02	First60=0.01	PredHel=0	Topology=o
Sprs_0262	len=552	ExpAA=242.77	First60=13.53	PredHel=11	Topology=o47-69i74-96o129-151i158-180o185-207i243-265o280-302i377-396o406-428i449-471o486-505i
Sprs_0263	len=72	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
Sprs_0264	len=1306	ExpAA=0.13	First60=0.00	PredHel=0	Topology=o
Sprs_0265	len=659	ExpAA=27.42	First60=25.19	PredHel=1	Topology=i30-52o
Sprs_0266	len=310	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0267	len=1152	ExpAA=0.23	First60=0.23	PredHel=0	Topology=o
Sprs_0268	len=438	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
Sprs_0269	len=647	ExpAA=0.41	First60=0.00	PredHel=0	Topology=o
Sprs_0270	len=142	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0271	len=271	ExpAA=0.02	First60=0.01	PredHel=0	Topology=o
Sprs_0272	len=472	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0273	len=523	ExpAA=256.61	First60=0.00	PredHel=12	Topology=i82-104o114-136i149-171o199-218i225-247o262-284i297-319o354-376i388-407o422-441i457-479o494-513i
Sprs_0274	len=338	ExpAA=107.05	First60=22.13	PredHel=5	Topology=o5-27i191-213o223-242i275-297o307-325i
Sprs_0275	len=861	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Sprs_0276	len=392	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0277	len=643	ExpAA=8.63	First60=0.00	PredHel=0	Topology=o
Sprs_0278	len=1405	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0279	len=394	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Sprs_0280	len=259	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Sprs_0281	len=195	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
Sprs_0282	len=1552	ExpAA=3.21	First60=0.00	PredHel=0	Topology=o
Sprs_0283	len=158	ExpAA=1.94	First60=0.33	PredHel=0	Topology=o
Sprs_0284	len=101	ExpAA=10.83	First60=10.83	PredHel=0	Topology=o
Sprs_0285	len=814	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Sprs_0286	len=707	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0287	len=606	ExpAA=35.40	First60=2.59	PredHel=1	Topology=o568-590i
Sprs_0288	len=582	ExpAA=49.01	First60=0.00	PredHel=1	Topology=i160-182o
Sprs_0289	len=1043	ExpAA=0.42	First60=0.00	PredHel=0	Topology=o
Sprs_0290	len=583	ExpAA=0.02	First60=0.01	PredHel=0	Topology=o
Sprs_0291	len=282	ExpAA=0.07	First60=0.00	PredHel=0	Topology=o
Sprs_0292	len=507	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
Sprs_0293	len=971	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
Sprs_0294	len=149	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0295	len=965	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Sprs_0296	len=392	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0297	len=288	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Sprs_0298	len=114	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0299	len=558	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Sprs_0300	len=675	ExpAA=0.22	First60=0.00	PredHel=0	Topology=o
Sprs_0301	len=272	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Sprs_0302	len=290	ExpAA=1.36	First60=0.00	PredHel=0	Topology=o
Sprs_0303	len=468	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
