Usma_0001	len=209	ExpAA=18.77	First60=15.39	PredHel=1	Topology=i45-67o
Usma_0021	len=850	ExpAA=0.24	First60=0.00	PredHel=0	Topology=o
Usma_0022	len=275	ExpAA=0.04	First60=0.01	PredHel=0	Topology=o
Usma_0023	len=420	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0024	len=280	ExpAA=0.33	First60=0.00	PredHel=0	Topology=o
Usma_0025	len=57	ExpAA=32.80	First60=32.80	PredHel=1	Topology=o33-55i
Usma_0026	len=384	ExpAA=46.88	First60=19.42	PredHel=2	Topology=o15-32i64-86o
Usma_0027	len=283	ExpAA=0.10	First60=0.00	PredHel=0	Topology=o
Usma_0028	len=789	ExpAA=0.70	First60=0.00	PredHel=0	Topology=o
Usma_0029	len=416	ExpAA=21.41	First60=21.40	PredHel=1	Topology=i16-38o
Usma_0030	len=353	ExpAA=1.10	First60=0.01	PredHel=0	Topology=o
Usma_0031	len=338	ExpAA=0.05	First60=0.00	PredHel=0	Topology=o
Usma_0032	len=469	ExpAA=0.14	First60=0.12	PredHel=0	Topology=o
Usma_0033	len=375	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0034	len=249	ExpAA=0.19	First60=0.18	PredHel=0	Topology=o
Usma_0035	len=189	ExpAA=19.76	First60=0.01	PredHel=1	Topology=i156-175o
Usma_0036	len=332	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0037	len=672	ExpAA=10.14	First60=0.00	PredHel=0	Topology=o
Usma_0038	len=512	ExpAA=156.44	First60=21.92	PredHel=7	Topology=o34-56i68-90o105-127i342-364o404-426i439-461o471-493i
Usma_0039	len=142	ExpAA=43.96	First60=25.05	PredHel=2	Topology=o4-26i57-79o
Usma_0040	len=1264	ExpAA=1.66	First60=0.00	PredHel=0	Topology=o
Usma_0041	len=611	ExpAA=254.03	First60=0.01	PredHel=11	Topology=o75-97i110-132o142-161i201-223o228-250i310-332o342-364i384-406o411-433i442-464o479-501i
Usma_0042	len=238	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
Usma_0043	len=223	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usma_0044	len=554	ExpAA=0.37	First60=0.00	PredHel=0	Topology=o
Usma_0045	len=453	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
Usma_0046	len=316	ExpAA=38.75	First60=0.01	PredHel=1	Topology=i68-90o
Usma_0047	len=306	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0048	len=641	ExpAA=38.61	First60=3.47	PredHel=0	Topology=o
Usma_0049	len=749	ExpAA=0.36	First60=0.00	PredHel=0	Topology=o
Usma_0050	len=1066	ExpAA=0.09	First60=0.00	PredHel=0	Topology=o
Usma_0051	len=443	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Usma_0052	len=346	ExpAA=1.53	First60=0.00	PredHel=0	Topology=o
Usma_0053	len=462	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Usma_0054	len=215	ExpAA=0.03	First60=0.03	PredHel=0	Topology=o
Usma_0055	len=249	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0056	len=145	ExpAA=28.02	First60=3.00	PredHel=0	Topology=o
Usma_0057	len=338	ExpAA=91.51	First60=23.52	PredHel=4	Topology=i7-29o100-122i131-153o179-201i
Usma_0058	len=147	ExpAA=22.40	First60=22.40	PredHel=1	Topology=o22-44i
Usma_0059	len=679	ExpAA=0.44	First60=0.03	PredHel=0	Topology=o
Usma_0060	len=163	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0061	len=158	ExpAA=19.57	First60=0.00	PredHel=1	Topology=i128-150o
Usma_0062	len=368	ExpAA=20.16	First60=20.15	PredHel=1	Topology=i7-29o
Usma_0063	len=530	ExpAA=105.70	First60=0.00	PredHel=5	Topology=i112-134o154-176i222-240o245-267i280-302o
Usma_0064	len=496	ExpAA=240.59	First60=0.00	PredHel=11	Topology=i85-106o110-132i159-181o191-213i218-240o266-288i301-323o343-362i383-405o415-437i450-472o
Usma_0065	len=214	ExpAA=36.11	First60=3.97	PredHel=0	Topology=o
Usma_0066	len=795	ExpAA=0.18	First60=0.00	PredHel=0	Topology=o
Usma_0067	len=325	ExpAA=0.11	First60=0.00	PredHel=0	Topology=o
Usma_0068	len=113	ExpAA=4.60	First60=4.60	PredHel=0	Topology=o
Usma_0069	len=601	ExpAA=263.01	First60=13.00	PredHel=12	Topology=i47-69o95-117i124-141o156-178i191-213o223-245i310-329o353-375i382-404o414-436i449-471o481-503i
Usma_0070	len=375	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
Usma_0071	len=522	ExpAA=40.81	First60=18.36	PredHel=2	Topology=i7-29o221-243i
Usma_0072	len=397	ExpAA=1.83	First60=1.82	PredHel=0	Topology=o
Usma_0073	len=131	ExpAA=0.12	First60=0.12	PredHel=0	Topology=o
Usma_0074	len=665	ExpAA=1.07	First60=0.00	PredHel=0	Topology=o
Usma_0075	len=2223	ExpAA=0.07	First60=0.00	PredHel=0	Topology=o
Usma_0076	len=865	ExpAA=241.69	First60=0.00	PredHel=11	Topology=o296-318i347-369o389-406i413-435o467-489i501-523o553-575i596-618o623-645i657-679o683-702i
Usma_0077	len=1161	ExpAA=0.62	First60=0.00	PredHel=0	Topology=o
Usma_0078	len=734	ExpAA=188.76	First60=42.17	PredHel=7	Topology=i9-31o35-57i69-91o245-267i279-301o665-687i694-713o
Usma_0079	len=381	ExpAA=2.50	First60=0.01	PredHel=0	Topology=o
Usma_0080	len=493	ExpAA=11.78	First60=7.72	PredHel=0	Topology=o
Usma_0081	len=531	ExpAA=121.21	First60=21.37	PredHel=5	Topology=o30-52i137-159o172-194i297-319o334-351i
Usma_0082	len=202	ExpAA=0.54	First60=0.53	PredHel=0	Topology=o
Usma_0083	len=226	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0084	len=945	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Usma_0085	len=598	ExpAA=253.18	First60=0.14	PredHel=10	Topology=i172-194o214-236i243-265o294-316i323-345o409-431i451-473o478-500i507-526o546-568i
Usma_0086	len=522	ExpAA=110.17	First60=14.57	PredHel=2	Topology=o40-62i133-155o
Usma_0087	len=724	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usma_0088	len=341	ExpAA=2.47	First60=2.32	PredHel=0	Topology=o
Usma_0089	len=657	ExpAA=0.02	First60=0.01	PredHel=0	Topology=o
Usma_0090	len=261	ExpAA=3.36	First60=2.37	PredHel=0	Topology=o
Usma_0091	len=437	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0092	len=310	ExpAA=118.11	First60=22.32	PredHel=5	Topology=i30-52o67-89i109-131o192-214i234-256o
Usma_0093	len=1018	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
Usma_0094	len=441	ExpAA=0.47	First60=0.00	PredHel=0	Topology=o
Usma_0095	len=320	ExpAA=0.31	First60=0.31	PredHel=0	Topology=o
Usma_0096	len=314	ExpAA=106.77	First60=5.21	PredHel=4	Topology=i67-89o139-161i200-222o242-259i
Usma_0097	len=857	ExpAA=0.07	First60=0.07	PredHel=0	Topology=o
Usma_0098	len=304	ExpAA=13.84	First60=0.16	PredHel=0	Topology=o
Usma_0099	len=114	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0100	len=456	ExpAA=0.06	First60=0.00	PredHel=0	Topology=o
Usma_0101	len=306	ExpAA=4.39	First60=4.30	PredHel=0	Topology=o
Usma_0102	len=214	ExpAA=0.38	First60=0.00	PredHel=0	Topology=o
Usma_0103	len=235	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usma_0104	len=261	ExpAA=9.13	First60=5.08	PredHel=0	Topology=o
Usma_0105	len=362	ExpAA=169.02	First60=25.51	PredHel=8	Topology=o20-42i54-76o96-118i206-228o233-252i265-287o302-324i337-359o
Usma_0106	len=592	ExpAA=18.73	First60=17.18	PredHel=0	Topology=o
Usma_0107	len=525	ExpAA=230.59	First60=37.74	PredHel=10	Topology=i7-26o41-63i70-89o104-126i139-161o176-198i218-235o245-262i269-291o391-413i
Usma_0108	len=682	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Usma_0109	len=315	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0110	len=865	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usma_0111	len=308	ExpAA=5.54	First60=5.53	PredHel=0	Topology=o
Usma_0112	len=515	ExpAA=232.74	First60=0.00	PredHel=11	Topology=i65-87o107-129i134-153o163-185i198-220o224-246i296-318o355-377i384-406o421-443i456-478o
Usma_0113	len=780	ExpAA=9.15	First60=9.15	PredHel=0	Topology=o
Usma_0114	len=629	ExpAA=25.87	First60=5.15	PredHel=1	Topology=o593-615i
Usma_0115	len=486	ExpAA=138.95	First60=4.94	PredHel=6	Topology=i76-98o113-135i249-271o281-303i308-330o395-417i
Usma_0116	len=271	ExpAA=29.91	First60=7.55	PredHel=1	Topology=o224-246i
Usma_0117	len=373	ExpAA=0.13	First60=0.00	PredHel=0	Topology=o
Usma_0118	len=616	ExpAA=4.07	First60=0.00	PredHel=0	Topology=o
Usma_0119	len=591	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Usma_0120	len=244	ExpAA=100.30	First60=33.22	PredHel=5	Topology=o10-29i36-58o96-118i131-153o194-216i
Usma_0121	len=535	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0122	len=1077	ExpAA=1.24	First60=0.00	PredHel=0	Topology=o
Usma_0123	len=457	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usma_0124	len=408	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0125	len=557	ExpAA=254.14	First60=0.03	PredHel=11	Topology=i102-121o131-153i160-182o192-214i221-243o306-328i341-363o368-390i397-419o429-451i464-486o
Usma_0126	len=679	ExpAA=0.07	First60=0.00	PredHel=0	Topology=o
Usma_0127	len=501	ExpAA=0.19	First60=0.14	PredHel=0	Topology=o
Usma_0128	len=601	ExpAA=62.69	First60=21.99	PredHel=3	Topology=i17-39o508-530i581-600o
Usma_0129	len=428	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0130	len=186	ExpAA=6.94	First60=0.00	PredHel=0	Topology=o
Usma_0131	len=649	ExpAA=0.29	First60=0.00	PredHel=0	Topology=o
Usma_0132	len=583	ExpAA=5.89	First60=3.44	PredHel=0	Topology=o
Usma_0133	len=463	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0134	len=325	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Usma_0135	len=525	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0136	len=661	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usma_0137	len=530	ExpAA=0.06	First60=0.03	PredHel=0	Topology=o
Usma_0138	len=312	ExpAA=2.61	First60=0.60	PredHel=0	Topology=o
Usma_0139	len=513	ExpAA=2.22	First60=2.22	PredHel=0	Topology=o
Usma_0140	len=240	ExpAA=0.52	First60=0.05	PredHel=0	Topology=o
Usma_0141	len=422	ExpAA=0.22	First60=0.01	PredHel=0	Topology=o
Usma_0142	len=506	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0143	len=716	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usma_0144	len=778	ExpAA=18.92	First60=18.92	PredHel=1	Topology=i7-25o
Usma_0145	len=263	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usma_0146	len=720	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0147	len=686	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
Usma_0148	len=470	ExpAA=0.06	First60=0.06	PredHel=0	Topology=o
Usma_0149	len=954	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usma_0150	len=364	ExpAA=0.06	First60=0.02	PredHel=0	Topology=o
Usma_0151	len=1342	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usma_0152	len=78	ExpAA=0.44	First60=0.44	PredHel=0	Topology=o
Usma_0153	len=95	ExpAA=21.91	First60=0.03	PredHel=1	Topology=o64-86i
Usma_0154	len=503	ExpAA=1.93	First60=0.31	PredHel=0	Topology=o
Usma_0155	len=668	ExpAA=0.35	First60=0.00	PredHel=0	Topology=o
Usma_0156	len=491	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0157	len=223	ExpAA=0.26	First60=0.00	PredHel=0	Topology=o
Usma_0158	len=733	ExpAA=0.10	First60=0.06	PredHel=0	Topology=o
Usma_0159	len=52	ExpAA=14.31	First60=14.31	PredHel=0	Topology=i
Usma_0160	len=724	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0161	len=1918	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0162	len=911	ExpAA=2.98	First60=2.59	PredHel=0	Topology=o
Usma_0163	len=635	ExpAA=30.18	First60=0.02	PredHel=0	Topology=o
Usma_0164	len=738	ExpAA=0.07	First60=0.00	PredHel=0	Topology=o
Usma_0165	len=119	ExpAA=18.95	First60=0.21	PredHel=1	Topology=i63-80o
Usma_0166	len=697	ExpAA=17.89	First60=15.94	PredHel=0	Topology=o
Usma_0167	len=293	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0168	len=316	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0169	len=528	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usma_0170	len=361	ExpAA=142.49	First60=20.44	PredHel=5	Topology=o33-55i83-105o125-147i191-213o324-346i
Usma_0171	len=323	ExpAA=2.61	First60=2.54	PredHel=0	Topology=o
Usma_0172	len=288	ExpAA=0.15	First60=0.00	PredHel=0	Topology=o
Usma_0173	len=590	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0174	len=258	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0175	len=265	ExpAA=0.19	First60=0.00	PredHel=0	Topology=o
Usma_0176	len=652	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0177	len=536	ExpAA=0.04	First60=0.04	PredHel=0	Topology=o
Usma_0178	len=371	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
Usma_0179	len=671	ExpAA=24.22	First60=0.00	PredHel=1	Topology=o651-670i
Usma_0180	len=1095	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0181	len=439	ExpAA=0.07	First60=0.00	PredHel=0	Topology=o
Usma_0182	len=491	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usma_0183	len=631	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usma_0184	len=95	ExpAA=0.25	First60=0.18	PredHel=0	Topology=o
Usma_0185	len=200	ExpAA=16.59	First60=16.59	PredHel=1	Topology=i7-26o
Usma_0186	len=647	ExpAA=1.23	First60=0.96	PredHel=0	Topology=o
Usma_0187	len=642	ExpAA=253.76	First60=22.14	PredHel=12	Topology=i34-56o71-93i100-119o129-151i164-181o196-218i356-378o445-467i479-501o511-533i540-562o608-630i
Usma_0188	len=149	ExpAA=11.80	First60=0.01	PredHel=0	Topology=o
Usma_0189	len=1723	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0190	len=301	ExpAA=0.04	First60=0.04	PredHel=0	Topology=o
Usma_0191	len=672	ExpAA=42.60	First60=0.00	PredHel=2	Topology=o535-557i582-604o
Usma_0192	len=429	ExpAA=0.02	First60=0.01	PredHel=0	Topology=o
Usma_0193	len=644	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usma_0194	len=477	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0195	len=501	ExpAA=0.06	First60=0.00	PredHel=0	Topology=o
Usma_0196	len=1305	ExpAA=0.09	First60=0.00	PredHel=0	Topology=o
Usma_0197	len=585	ExpAA=1.72	First60=1.71	PredHel=0	Topology=o
Usma_0198	len=572	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
Usma_0199	len=451	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0200	len=78	ExpAA=20.14	First60=11.16	PredHel=1	Topology=i50-69o
Usma_0201	len=1431	ExpAA=54.59	First60=0.00	PredHel=2	Topology=o1356-1378i1391-1413o
Usma_0202	len=110	ExpAA=0.29	First60=0.11	PredHel=0	Topology=o
Usma_0203	len=294	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0204	len=897	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0205	len=103	ExpAA=1.13	First60=1.13	PredHel=0	Topology=o
Usma_0206	len=339	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
Usma_0207	len=532	ExpAA=154.63	First60=17.80	PredHel=7	Topology=o43-65i78-100o120-142i155-177o203-225i246-268o278-300i
Usma_0208	len=693	ExpAA=243.80	First60=20.82	PredHel=11	Topology=o35-57i112-134o144-166i237-259o293-315i422-444o479-501i514-536o551-573i624-646o656-678i
Usma_0209	len=296	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0210	len=1082	ExpAA=0.30	First60=0.00	PredHel=0	Topology=o
Usma_0211	len=238	ExpAA=129.21	First60=15.98	PredHel=6	Topology=i48-65o70-92i105-127o142-164i171-193o198-220i
Usma_0212	len=1260	ExpAA=0.10	First60=0.00	PredHel=0	Topology=o
Usma_0213	len=127	ExpAA=1.05	First60=0.00	PredHel=0	Topology=i
Usma_0214	len=403	ExpAA=0.25	First60=0.03	PredHel=0	Topology=o
Usma_0215	len=1002	ExpAA=148.85	First60=5.26	PredHel=6	Topology=o137-156i163-185o195-217i222-241o246-268i275-297o
Usma_0216	len=281	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usma_0217	len=597	ExpAA=44.30	First60=21.77	PredHel=2	Topology=o13-35i265-287o
Usma_0218	len=395	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0219	len=1125	ExpAA=216.25	First60=0.00	PredHel=10	Topology=i151-173o177-196i365-387o391-413i866-888o898-920i949-971o991-1013i1034-1051o1066-1085i
Usma_0220	len=80	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0221	len=699	ExpAA=224.93	First60=0.00	PredHel=10	Topology=i131-153o168-190i210-232o257-279i286-308o497-519i574-596o600-619i631-653o658-680i
Usma_0222	len=574	ExpAA=4.08	First60=1.31	PredHel=0	Topology=o
Usma_0223	len=792	ExpAA=39.87	First60=0.00	PredHel=2	Topology=i379-401o645-662i
Usma_0224	len=191	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
Usma_0225	len=426	ExpAA=21.17	First60=3.72	PredHel=0	Topology=o
Usma_0226	len=312	ExpAA=0.88	First60=0.07	PredHel=0	Topology=o
Usma_0227	len=211	ExpAA=88.94	First60=22.75	PredHel=4	Topology=i20-42o78-100i120-139o173-195i
Usma_0228	len=235	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0229	len=941	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usma_0230	len=739	ExpAA=96.56	First60=0.11	PredHel=4	Topology=o520-539i552-574o600-622i629-651o
Usma_0231	len=164	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0232	len=565	ExpAA=1.22	First60=0.00	PredHel=0	Topology=o
Usma_0233	len=544	ExpAA=0.15	First60=0.00	PredHel=0	Topology=o
Usma_0234	len=384	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
Usma_0235	len=946	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0236	len=636	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0237	len=697	ExpAA=222.09	First60=0.00	PredHel=9	Topology=o198-220i276-298o390-412i425-447o457-479i486-508o518-540i583-605o615-637i
Usma_0238	len=53	ExpAA=0.00	First60=0.00	PredHel=0	Topology=i
Usma_0239	len=263	ExpAA=90.43	First60=26.00	PredHel=4	Topology=i25-47o62-81i94-116o158-180i
Usma_0240	len=510	ExpAA=259.78	First60=0.00	PredHel=12	Topology=i92-114o129-146i159-181o206-228i235-257o267-289i310-332o347-369i376-398o408-430i443-465o475-494i
Usma_0241	len=420	ExpAA=146.39	First60=0.00	PredHel=7	Topology=o67-89i110-132o137-156i163-185o205-224i231-253o277-296i
Usma_0242	len=251	ExpAA=0.02	First60=0.02	PredHel=0	Topology=o
Usma_0243	len=1014	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0244	len=317	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0245	len=1056	ExpAA=172.80	First60=2.70	PredHel=8	Topology=i209-228o243-265i285-307o342-361i500-522o542-564i922-944o948-970i
Usma_0246	len=314	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Usma_0247	len=383	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0248	len=547	ExpAA=1.13	First60=0.85	PredHel=0	Topology=o
Usma_0249	len=388	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Usma_0250	len=396	ExpAA=0.69	First60=0.00	PredHel=0	Topology=o
Usma_0251	len=559	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Usma_0252	len=325	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0253	len=461	ExpAA=0.07	First60=0.06	PredHel=0	Topology=o
Usma_0254	len=123	ExpAA=0.19	First60=0.01	PredHel=0	Topology=o
Usma_0255	len=1094	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0256	len=1492	ExpAA=0.08	First60=0.00	PredHel=0	Topology=o
Usma_0257	len=1658	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
Usma_0259	len=1032	ExpAA=0.50	First60=0.32	PredHel=0	Topology=o
Usma_0260	len=365	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usma_0261	len=957	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usma_0262	len=174	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0263	len=349	ExpAA=0.12	First60=0.00	PredHel=0	Topology=o
Usma_0264	len=338	ExpAA=9.37	First60=1.61	PredHel=0	Topology=o
Usma_0265	len=109	ExpAA=7.28	First60=0.70	PredHel=0	Topology=o
Usma_0266	len=602	ExpAA=0.02	First60=0.01	PredHel=0	Topology=o
Usma_0267	len=511	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0268	len=673	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usma_0269	len=887	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usma_0270	len=314	ExpAA=1.71	First60=1.17	PredHel=0	Topology=o
Usma_0271	len=637	ExpAA=0.10	First60=0.00	PredHel=0	Topology=o
Usma_0272	len=207	ExpAA=2.52	First60=2.51	PredHel=0	Topology=o
Usma_0273	len=242	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0274	len=363	ExpAA=0.16	First60=0.03	PredHel=0	Topology=o
Usma_0275	len=638	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0276	len=268	ExpAA=0.09	First60=0.05	PredHel=0	Topology=o
Usma_0277	len=1040	ExpAA=38.68	First60=15.70	PredHel=1	Topology=o998-1020i
Usma_0278	len=566	ExpAA=70.34	First60=0.00	PredHel=3	Topology=o188-210i429-451o481-503i
Usma_0279	len=566	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Usma_0280	len=165	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
Usma_0281	len=144	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0282	len=367	ExpAA=135.14	First60=31.69	PredHel=6	Topology=o20-42i49-71o91-113i126-148o163-185i206-228o
Usma_0283	len=450	ExpAA=37.18	First60=0.00	PredHel=0	Topology=o
Usma_0284	len=245	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usma_0285	len=836	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0286	len=341	ExpAA=0.02	First60=0.02	PredHel=0	Topology=o
Usma_0287	len=290	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usma_0288	len=384	ExpAA=66.31	First60=22.73	PredHel=3	Topology=o20-42i157-179o235-257i
Usma_0289	len=543	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usma_0290	len=1359	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usma_0291	len=897	ExpAA=0.02	First60=0.02	PredHel=0	Topology=o
Usma_0292	len=517	ExpAA=21.85	First60=21.60	PredHel=1	Topology=i7-29o
Usma_0293	len=689	ExpAA=125.47	First60=0.00	PredHel=6	Topology=i202-224o239-261i266-288o326-348i355-377o392-413i
Usma_0294	len=140	ExpAA=11.33	First60=11.33	PredHel=0	Topology=o
Usma_0295	len=476	ExpAA=0.02	First60=0.01	PredHel=0	Topology=o
Usma_0296	len=1247	ExpAA=0.07	First60=0.00	PredHel=0	Topology=o
Usma_0297	len=139	ExpAA=5.72	First60=1.08	PredHel=0	Topology=i
Usma_0298	len=985	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usma_0299	len=125	ExpAA=0.03	First60=0.02	PredHel=0	Topology=i
Usma_0300	len=645	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usma_0301	len=1128	ExpAA=0.11	First60=0.00	PredHel=0	Topology=o
Usma_0302	len=464	ExpAA=17.58	First60=17.56	PredHel=1	Topology=i21-38o
Usma_0303	len=1157	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0304	len=1962	ExpAA=0.48	First60=0.00	PredHel=0	Topology=o
Usma_0305	len=397	ExpAA=14.48	First60=14.47	PredHel=0	Topology=o
