Usho_0001	len=154	ExpAA=21.23	First60=4.72	PredHel=1	Topology=i56-78o
Usho_0039	len=323	ExpAA=1.16	First60=0.00	PredHel=0	Topology=o
Usho_0040	len=178	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0041	len=1572	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usho_0042	len=611	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usho_0043	len=645	ExpAA=104.15	First60=22.62	PredHel=4	Topology=i7-29o95-117i130-152o172-194i
Usho_0044	len=1038	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
Usho_0045	len=551	ExpAA=0.02	First60=0.01	PredHel=0	Topology=o
Usho_0046	len=375	ExpAA=0.05	First60=0.03	PredHel=0	Topology=o
Usho_0047	len=197	ExpAA=0.02	First60=0.01	PredHel=0	Topology=o
Usho_0048	len=702	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
Usho_0049	len=115	ExpAA=0.02	First60=0.00	PredHel=0	Topology=i
Usho_0050	len=1157	ExpAA=0.16	First60=0.12	PredHel=0	Topology=o
Usho_0051	len=369	ExpAA=20.09	First60=0.00	PredHel=1	Topology=i349-368o
Usho_0052	len=648	ExpAA=0.06	First60=0.00	PredHel=0	Topology=o
Usho_0053	len=452	ExpAA=25.80	First60=1.50	PredHel=1	Topology=o429-451i
Usho_0054	len=699	ExpAA=102.52	First60=0.00	PredHel=0	Topology=o
Usho_0055	len=902	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0056	len=441	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0057	len=340	ExpAA=20.91	First60=20.90	PredHel=1	Topology=i5-27o
Usho_0058	len=148	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0059	len=287	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0060	len=288	ExpAA=10.19	First60=10.09	PredHel=0	Topology=o
Usho_0061	len=333	ExpAA=1.76	First60=0.23	PredHel=0	Topology=o
Usho_0062	len=201	ExpAA=0.16	First60=0.00	PredHel=0	Topology=o
Usho_0063	len=179	ExpAA=0.22	First60=0.00	PredHel=0	Topology=o
Usho_0064	len=88	ExpAA=3.28	First60=3.06	PredHel=0	Topology=o
Usho_0065	len=141	ExpAA=15.57	First60=11.00	PredHel=0	Topology=o
Usho_0066	len=144	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usho_0067	len=163	ExpAA=0.09	First60=0.06	PredHel=0	Topology=o
Usho_0068	len=134	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0069	len=189	ExpAA=8.64	First60=8.63	PredHel=0	Topology=o
Usho_0070	len=333	ExpAA=2.45	First60=0.00	PredHel=0	Topology=o
Usho_0071	len=303	ExpAA=0.20	First60=0.15	PredHel=0	Topology=o
Usho_0072	len=138	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0073	len=504	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0074	len=292	ExpAA=29.54	First60=14.15	PredHel=0	Topology=o
Usho_0075	len=125	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
Usho_0076	len=164	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0077	len=148	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0078	len=326	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Usho_0079	len=162	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0080	len=252	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
Usho_0081	len=322	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usho_0082	len=128	ExpAA=1.09	First60=0.00	PredHel=0	Topology=o
Usho_0083	len=191	ExpAA=1.24	First60=1.23	PredHel=0	Topology=o
Usho_0084	len=186	ExpAA=0.02	First60=0.01	PredHel=0	Topology=o
Usho_0085	len=713	ExpAA=10.64	First60=0.00	PredHel=0	Topology=o
Usho_0086	len=190	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Usho_0087	len=110	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0088	len=205	ExpAA=0.41	First60=0.40	PredHel=0	Topology=o
Usho_0089	len=177	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
Usho_0090	len=1271	ExpAA=1.73	First60=0.00	PredHel=0	Topology=o
Usho_0091	len=329	ExpAA=4.94	First60=0.00	PredHel=0	Topology=o
Usho_0092	len=497	ExpAA=0.12	First60=0.00	PredHel=0	Topology=o
Usho_0093	len=216	ExpAA=129.17	First60=22.91	PredHel=6	Topology=i32-54o64-86i99-118o122-144i156-178o188-210i
Usho_0095	len=1021	ExpAA=0.08	First60=0.06	PredHel=0	Topology=o
Usho_0096	len=116	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0097	len=540	ExpAA=7.42	First60=0.00	PredHel=0	Topology=o
Usho_0098	len=707	ExpAA=0.03	First60=0.03	PredHel=0	Topology=o
Usho_0099	len=276	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0100	len=254	ExpAA=0.15	First60=0.15	PredHel=0	Topology=o
Usho_0101	len=295	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
Usho_0102	len=287	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0103	len=555	ExpAA=217.68	First60=21.02	PredHel=10	Topology=i35-57o92-109i146-168o178-200i300-322o332-354i361-383o393-415i431-453o463-482i
Usho_0104	len=618	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0105	len=278	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0106	len=466	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
Usho_0107	len=879	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Usho_0108	len=288	ExpAA=40.19	First60=24.99	PredHel=0	Topology=o
Usho_0109	len=1841	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0110	len=588	ExpAA=0.09	First60=0.05	PredHel=0	Topology=o
Usho_0111	len=630	ExpAA=225.75	First60=22.03	PredHel=9	Topology=i107-129o144-166i179-201o216-238i382-404o419-441i454-476o530-552i582-604o
Usho_0112	len=1993	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usho_0113	len=1401	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
Usho_0114	len=315	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0115	len=793	ExpAA=193.23	First60=0.00	PredHel=9	Topology=o175-197i314-336o346-368i381-403o433-452i465-487o638-657i670-692o702-721i
Usho_0116	len=112	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0117	len=239	ExpAA=0.18	First60=0.16	PredHel=0	Topology=o
Usho_0118	len=199	ExpAA=0.35	First60=0.00	PredHel=0	Topology=o
Usho_0119	len=166	ExpAA=0.02	First60=0.02	PredHel=0	Topology=o
Usho_0120	len=1108	ExpAA=0.11	First60=0.07	PredHel=0	Topology=o
Usho_0121	len=197	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0122	len=185	ExpAA=0.11	First60=0.01	PredHel=0	Topology=o
Usho_0123	len=180	ExpAA=2.97	First60=0.86	PredHel=0	Topology=o
Usho_0124	len=270	ExpAA=0.10	First60=0.00	PredHel=0	Topology=o
Usho_0125	len=190	ExpAA=17.47	First60=17.46	PredHel=1	Topology=i5-27o
Usho_0126	len=120	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usho_0127	len=96	ExpAA=0.02	First60=0.02	PredHel=0	Topology=o
Usho_0128	len=1097	ExpAA=12.25	First60=0.01	PredHel=0	Topology=o
Usho_0129	len=919	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0130	len=306	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
Usho_0131	len=415	ExpAA=42.13	First60=20.58	PredHel=2	Topology=o36-58i308-330o
Usho_0132	len=401	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0133	len=353	ExpAA=0.10	First60=0.00	PredHel=0	Topology=o
Usho_0134	len=1546	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usho_0135	len=508	ExpAA=0.06	First60=0.01	PredHel=0	Topology=o
Usho_0136	len=805	ExpAA=0.10	First60=0.00	PredHel=0	Topology=o
Usho_0137	len=535	ExpAA=241.61	First60=0.00	PredHel=11	Topology=i121-143o147-166i185-207o222-244i251-273o306-328i341-360o380-402i422-444o454-476i488-510o
Usho_0138	len=1330	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0139	len=550	ExpAA=66.58	First60=0.04	PredHel=0	Topology=o
Usho_0140	len=1489	ExpAA=1.17	First60=1.17	PredHel=0	Topology=o
Usho_0141	len=395	ExpAA=0.11	First60=0.00	PredHel=0	Topology=o
Usho_0142	len=2218	ExpAA=0.99	First60=0.00	PredHel=0	Topology=o
Usho_0143	len=229	ExpAA=0.02	First60=0.01	PredHel=0	Topology=o
Usho_0144	len=544	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0145	len=482	ExpAA=0.51	First60=0.00	PredHel=0	Topology=o
Usho_0146	len=764	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Usho_0147	len=334	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0148	len=354	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usho_0149	len=1169	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
Usho_0150	len=971	ExpAA=0.17	First60=0.00	PredHel=0	Topology=o
Usho_0151	len=1134	ExpAA=24.72	First60=21.87	PredHel=1	Topology=i13-35o
Usho_0152	len=355	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
Usho_0153	len=88	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0154	len=162	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0155	len=391	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0156	len=462	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usho_0157	len=178	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0158	len=29	ExpAA=0.00	First60=0.00	PredHel=0	Topology=i
Usho_0159	len=218	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Usho_0160	len=111	ExpAA=0.00	First60=0.00	PredHel=0	Topology=i
Usho_0161	len=1383	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usho_0162	len=388	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usho_0163	len=578	ExpAA=0.51	First60=0.00	PredHel=0	Topology=o
Usho_0164	len=1294	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usho_0165	len=1047	ExpAA=0.16	First60=0.01	PredHel=0	Topology=o
Usho_0166	len=713	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0167	len=163	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0168	len=376	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usho_0169	len=317	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usho_0170	len=173	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Usho_0171	len=2128	ExpAA=37.95	First60=0.00	PredHel=0	Topology=o
Usho_0172	len=504	ExpAA=1.09	First60=1.09	PredHel=0	Topology=o
Usho_0173	len=416	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Usho_0174	len=224	ExpAA=0.43	First60=0.43	PredHel=0	Topology=o
Usho_0175	len=128	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0176	len=507	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0177	len=476	ExpAA=1.12	First60=0.00	PredHel=0	Topology=o
Usho_0178	len=131	ExpAA=0.04	First60=0.04	PredHel=0	Topology=o
Usho_0179	len=1277	ExpAA=214.34	First60=0.00	PredHel=9	Topology=o484-503i533-551o556-578i1074-1096o1101-1123i1153-1175o1179-1198i1205-1227o1237-1259i
Usho_0180	len=889	ExpAA=0.06	First60=0.00	PredHel=0	Topology=o
Usho_0181	len=123	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0182	len=314	ExpAA=0.04	First60=0.01	PredHel=0	Topology=o
Usho_0183	len=291	ExpAA=0.05	First60=0.00	PredHel=0	Topology=o
Usho_0184	len=646	ExpAA=250.03	First60=0.00	PredHel=12	Topology=i176-195o205-227i239-261o271-293i305-327o337-359i415-437o452-474i494-516o526-548i555-577o592-614i
Usho_0185	len=568	ExpAA=57.38	First60=4.52	PredHel=2	Topology=o56-75i95-117o
Usho_0186	len=358	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0187	len=387	ExpAA=0.24	First60=0.00	PredHel=0	Topology=o
Usho_0188	len=986	ExpAA=0.53	First60=0.00	PredHel=0	Topology=o
Usho_0189	len=644	ExpAA=37.24	First60=19.78	PredHel=1	Topology=i7-29o
Usho_0190	len=255	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0191	len=92	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0192	len=523	ExpAA=0.23	First60=0.22	PredHel=0	Topology=o
Usho_0193	len=724	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usho_0194	len=126	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0195	len=167	ExpAA=12.04	First60=12.03	PredHel=0	Topology=o
Usho_0196	len=229	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0197	len=157	ExpAA=0.12	First60=0.11	PredHel=0	Topology=o
Usho_0198	len=644	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0199	len=390	ExpAA=10.52	First60=0.01	PredHel=0	Topology=o
Usho_0200	len=190	ExpAA=0.09	First60=0.00	PredHel=0	Topology=o
Usho_0201	len=168	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0203	len=157	ExpAA=0.05	First60=0.00	PredHel=0	Topology=o
Usho_0204	len=117	ExpAA=0.02	First60=0.01	PredHel=0	Topology=o
Usho_0205	len=215	ExpAA=1.93	First60=0.01	PredHel=0	Topology=o
Usho_0206	len=162	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
Usho_0207	len=253	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Usho_0208	len=66	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0209	len=473	ExpAA=2.84	First60=0.62	PredHel=0	Topology=o
Usho_0210	len=908	ExpAA=0.07	First60=0.00	PredHel=0	Topology=o
Usho_0211	len=985	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0212	len=472	ExpAA=20.05	First60=0.08	PredHel=1	Topology=o446-465i
Usho_0213	len=640	ExpAA=52.35	First60=0.00	PredHel=2	Topology=o446-468i475-497o
Usho_0214	len=252	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usho_0215	len=1076	ExpAA=23.07	First60=20.75	PredHel=1	Topology=i27-49o
Usho_0216	len=395	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usho_0217	len=214	ExpAA=0.04	First60=0.04	PredHel=0	Topology=o
Usho_0218	len=1536	ExpAA=0.04	First60=0.01	PredHel=0	Topology=o
Usho_0219	len=467	ExpAA=0.02	First60=0.01	PredHel=0	Topology=o
Usho_0220	len=342	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usho_0221	len=122	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0222	len=135	ExpAA=0.00	First60=0.00	PredHel=0	Topology=i
Usho_0223	len=106	ExpAA=0.03	First60=0.03	PredHel=0	Topology=o
Usho_0224	len=157	ExpAA=0.05	First60=0.04	PredHel=0	Topology=o
Usho_0225	len=202	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0226	len=273	ExpAA=0.55	First60=0.00	PredHel=0	Topology=o
Usho_0227	len=110	ExpAA=0.15	First60=0.15	PredHel=0	Topology=i
Usho_0228	len=146	ExpAA=0.06	First60=0.00	PredHel=0	Topology=o
Usho_0229	len=831	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usho_0230	len=271	ExpAA=0.07	First60=0.00	PredHel=0	Topology=o
Usho_0231	len=71	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
Usho_0232	len=1096	ExpAA=2.38	First60=0.00	PredHel=0	Topology=o
Usho_0233	len=733	ExpAA=9.57	First60=9.56	PredHel=0	Topology=o
Usho_0234	len=216	ExpAA=0.06	First60=0.00	PredHel=0	Topology=o
Usho_0235	len=109	ExpAA=0.02	First60=0.02	PredHel=0	Topology=o
Usho_0236	len=239	ExpAA=0.02	First60=0.02	PredHel=0	Topology=o
Usho_0237	len=193	ExpAA=0.21	First60=0.03	PredHel=0	Topology=o
Usho_0238	len=873	ExpAA=64.76	First60=0.66	PredHel=3	Topology=o587-609i630-652o667-689i
Usho_0239	len=231	ExpAA=0.31	First60=0.29	PredHel=0	Topology=o
Usho_0240	len=165	ExpAA=0.20	First60=0.19	PredHel=0	Topology=o
Usho_0241	len=313	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usho_0242	len=548	ExpAA=1.35	First60=0.00	PredHel=0	Topology=o
Usho_0243	len=1185	ExpAA=0.05	First60=0.00	PredHel=0	Topology=o
Usho_0244	len=400	ExpAA=4.98	First60=0.75	PredHel=0	Topology=o
Usho_0245	len=842	ExpAA=0.06	First60=0.00	PredHel=0	Topology=o
Usho_0246	len=877	ExpAA=0.32	First60=0.00	PredHel=0	Topology=o
Usho_0247	len=499	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
Usho_0248	len=182	ExpAA=0.15	First60=0.02	PredHel=0	Topology=o
Usho_0249	len=303	ExpAA=0.72	First60=0.00	PredHel=0	Topology=o
Usho_0250	len=90	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0251	len=112	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
Usho_0252	len=271	ExpAA=0.17	First60=0.04	PredHel=0	Topology=o
Usho_0253	len=174	ExpAA=0.06	First60=0.05	PredHel=0	Topology=o
Usho_0254	len=190	ExpAA=0.06	First60=0.00	PredHel=0	Topology=o
Usho_0255	len=188	ExpAA=0.04	First60=0.03	PredHel=0	Topology=o
Usho_0256	len=134	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0257	len=105	ExpAA=0.05	First60=0.00	PredHel=0	Topology=o
Usho_0258	len=153	ExpAA=0.00	First60=0.00	PredHel=0	Topology=i
Usho_0259	len=251	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0260	len=417	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
Usho_0262	len=141	ExpAA=0.00	First60=0.00	PredHel=0	Topology=i
Usho_0263	len=156	ExpAA=2.80	First60=2.30	PredHel=0	Topology=o
Usho_0264	len=251	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0265	len=102	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0266	len=145	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0267	len=852	ExpAA=17.44	First60=17.37	PredHel=1	Topology=i29-46o
Usho_0268	len=133	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0269	len=389	ExpAA=0.06	First60=0.06	PredHel=0	Topology=o
Usho_0270	len=526	ExpAA=54.55	First60=0.38	PredHel=0	Topology=o
Usho_0271	len=649	ExpAA=0.05	First60=0.00	PredHel=0	Topology=o
Usho_0272	len=158	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0273	len=518	ExpAA=0.34	First60=0.00	PredHel=0	Topology=o
Usho_0274	len=707	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usho_0275	len=230	ExpAA=0.56	First60=0.00	PredHel=0	Topology=o
Usho_0276	len=137	ExpAA=0.06	First60=0.00	PredHel=0	Topology=o
Usho_0277	len=305	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0278	len=2856	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usho_0279	len=560	ExpAA=0.08	First60=0.08	PredHel=0	Topology=o
Usho_0280	len=399	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0281	len=1262	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Usho_0282	len=271	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
Usho_0283	len=791	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usho_0284	len=207	ExpAA=0.21	First60=0.00	PredHel=0	Topology=o
Usho_0285	len=882	ExpAA=0.05	First60=0.00	PredHel=0	Topology=o
Usho_0286	len=149	ExpAA=15.56	First60=12.41	PredHel=0	Topology=o
Usho_0287	len=155	ExpAA=0.07	First60=0.00	PredHel=0	Topology=o
Usho_0288	len=266	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Usho_0289	len=106	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0290	len=212	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Usho_0291	len=184	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Usho_0292	len=87	ExpAA=0.01	First60=0.00	PredHel=0	Topology=i
Usho_0293	len=187	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0294	len=162	ExpAA=0.07	First60=0.02	PredHel=0	Topology=o
Usho_0295	len=137	ExpAA=0.13	First60=0.00	PredHel=0	Topology=o
Usho_0296	len=1646	ExpAA=1.54	First60=0.00	PredHel=0	Topology=o
Usho_0297	len=317	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
Usho_0298	len=826	ExpAA=0.09	First60=0.00	PredHel=0	Topology=o
Usho_0299	len=774	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0300	len=288	ExpAA=0.76	First60=0.66	PredHel=0	Topology=o
Usho_0301	len=153	ExpAA=0.00	First60=0.00	PredHel=0	Topology=i
Usho_0302	len=293	ExpAA=0.09	First60=0.01	PredHel=0	Topology=o
Usho_0303	len=277	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0304	len=120	ExpAA=0.90	First60=0.42	PredHel=0	Topology=o
Usho_0305	len=99	ExpAA=1.62	First60=1.62	PredHel=0	Topology=o
Usho_0306	len=101	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0307	len=139	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
Usho_0308	len=179	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0309	len=136	ExpAA=31.66	First60=31.31	PredHel=1	Topology=i7-29o
Usho_0310	len=309	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0311	len=303	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Usho_0312	len=120	ExpAA=5.96	First60=0.10	PredHel=0	Topology=o
Usho_0313	len=92	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
Usho_0314	len=182	ExpAA=0.25	First60=0.24	PredHel=0	Topology=o
Usho_0315	len=196	ExpAA=0.02	First60=0.02	PredHel=0	Topology=o
Usho_0316	len=122	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0317	len=146	ExpAA=0.04	First60=0.02	PredHel=0	Topology=o
Usho_0318	len=173	ExpAA=1.79	First60=1.58	PredHel=0	Topology=o
Usho_0319	len=91	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0320	len=340	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
Usho_0321	len=602	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0322	len=228	ExpAA=0.02	First60=0.01	PredHel=0	Topology=o
Usho_0323	len=503	ExpAA=255.29	First60=24.40	PredHel=12	Topology=i20-42o57-79i92-111o115-137i149-171o181-200i283-305o325-347i373-395o400-422i435-457o467-489i
Usho_0324	len=193	ExpAA=1.56	First60=0.00	PredHel=0	Topology=o
Usho_0325	len=313	ExpAA=0.16	First60=0.03	PredHel=0	Topology=o
Usho_0326	len=937	ExpAA=0.21	First60=0.00	PredHel=0	Topology=o
Usho_0327	len=235	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
Usho_0328	len=1119	ExpAA=240.55	First60=21.73	PredHel=11	Topology=o35-57i119-138o165-187i387-409o435-457i478-500o545-567i588-607o611-630i651-673o678-697i
Usho_0329	len=2864	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
Usho_0330	len=204	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0331	len=416	ExpAA=8.92	First60=8.85	PredHel=0	Topology=o
Usho_0332	len=889	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
